date,time_of_day,hour,temperature,precipitation,soil_temp_0cm,soil_temp_6cm,soil_moisture_0_1cm,soil_moisture_3_9cm,temp_max_daily,temp_min_daily,precipitation_sum_daily,sunshine_duration_daily
2025-11-14,morning,6,25.5,0.0,,,,,26.9,13.4,0.0,34455.81
2025-11-14,midday,12,24.0,0.0,,,,,26.9,13.4,0.0,34455.81
2025-11-14,evening,18,17.5,0.0,,,,,26.9,13.4,0.0,34455.81
2025-11-15,morning,6,25.0,0.0,,,,,26.0,12.8,0.0,34315.5
2025-11-15,midday,12,22.9,0.0,,,,,26.0,12.8,0.0,34315.5
2025-11-15,evening,18,17.5,0.0,,,,,26.0,12.8,0.0,34315.5
2025-11-16,morning,6,25.1,0.0,,,,,27.1,12.9,0.0,34176.58
2025-11-16,midday,12,23.8,0.0,,,,,27.1,12.9,0.0,34176.58
2025-11-16,evening,18,17.5,0.0,,,,,27.1,12.9,0.0,34176.58
2025-11-17,morning,6,25.9,0.0,,,,,27.6,14.0,0.0,33858.81
2025-11-17,midday,12,24.0,0.0,,,,,27.6,14.0,0.0,33858.81
2025-11-17,evening,18,19.6,0.0,,,,,27.6,14.0,0.0,33858.81
2025-11-18,morning,6,26.0,0.0,,,,,27.7,15.8,0.0,33584.61
2025-11-18,midday,12,24.5,0.0,,,,,27.7,15.8,0.0,33584.61
2025-11-18,evening,18,19.1,0.0,,,,,27.7,15.8,0.0,33584.61
2025-11-19,morning,6,25.9,0.0,,,,,27.3,15.4,0.0,33449.9
2025-11-19,midday,12,24.1,0.0,,,,,27.3,15.4,0.0,33449.9
2025-11-19,evening,18,19.4,0.0,,,,,27.3,15.4,0.0,33449.9
2025-11-20,morning,6,25.4,0.0,,,,,26.9,15.6,0.0,33317.42
2025-11-20,midday,12,24.2,0.0,,,,,26.9,15.6,0.0,33317.42
2025-11-20,evening,18,19.1,0.0,,,,,26.9,15.6,0.0,33317.42
2025-11-21,morning,6,25.4,0.0,,,,,27.4,15.8,0.0,33187.25
2025-11-21,midday,12,24.4,0.0,,,,,27.4,15.8,0.0,33187.25
2025-11-21,evening,18,19.0,0.0,,,,,27.4,15.8,0.0,33187.25
2025-11-22,morning,6,25.2,0.0,,,,,26.5,15.7,0.0,33189.65
2025-11-22,midday,12,23.7,0.0,,,,,26.5,15.7,0.0,33189.65
2025-11-22,evening,18,19.0,0.0,,,,,26.5,15.7,0.0,33189.65
